TC ID;TEST CASE NAME;CONTROL FLOW;OR;PAGE;ELEMENT REF;ACTION;TEST DATA;EXPECTED RESULT;DESCRIPTION;PRIORITY;FLAGS;SERVICE CONFIG;REMARKS
;;;DMIOnlineSync;RightPane;Page_Size_inputbox;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Select Max;;;;
;;;DMIOnlineSync;RightPane;Page_Size_inputbox;CLICK;;;Click on Maximum;;;;
;;;DMIOnlineSync;RightPane;Page_Size_inputbox;ENTER;max;;Click on Maximum;;;;
;;;Custom;;;WAIT;2;;Custom Wait;;;;
;;;DMIOnlineSync;RightPane;BrowserArea_Item_Intotal;CLICK;30;;Wait for New_Product_Enrichment;;;;
;;;Custom;;;WAIT;20;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Select_Particular_Ean_Lancome;CLICK;;;Click on Particular Task;;ON ERROR EXIT SCENARIO;;
;;;HomePage;Home;Go_To_Attachments;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Go To Attachments;;;;
;;;HomePage;Home;Go_To_Attachments;CLICK;;;Click Go To Attachments;;;;
;;;DMIOnlineSync;Home;First_Product;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for First Variant Product;;;;
;;;DMIOnlineSync;Home;First_Product;DOUBLECLICK;;;Click First Variant Product;;;;
;;;Custom;;;WAIT;5;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Loading_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Loading Indicator;;;;
;;;DMIOnlineSync;Home;General_Product_Information;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for General Product Information;;;;
;;;DMIOnlineSync;Home;General_Product_Information;RIGHTMOUSECLICK;;;Right Click on General Product Information;;;;
;;;DMIOnlineSync;Home;Expand_All_Tabs;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Expand All ;;;;
;;;DMIOnlineSync;Home;Expand_All_Tabs;CLICK;;;Click on Expand All ;;;;
;;;Custom;;;WAIT;5;;Custom Wait;;;;
;;;HomePage;Home;Approve_Product;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Approve Product;;;;
;;;HomePage;Home;Approve_Product;CLICK;;;Click Approve Product;;;;
;;;Custom;;;WAIT;2;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Loading_Indicator;WAITTILLOBJAVAILABLE;90;;Wait till Loading Indicator;;;;
;;;DMIOnlineSync;Home;Notification Message;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Notification Message;;;;
;;;DMIOnlineSync;Home;Notification Message;VERIFYPARTTEXTPRESENT;Workflow decision [null] completed successfully;;Verify Text on Approval;;;;
;;;Custom;;;WAIT;10;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Select_Particular_Ean_Lancome;VERIFYELEMENTNOTPRESENT;;;Verify Task is not Present;;;;
;;;Custom;;;QUIT;;;Closing the Session;;;;
